"file_name" "n_taxa" "n_sites"
"64" "busco.10302at7399.faa.phy" 22 767
"65" "busco.10305at7399.faa.phy" 32 1570
"66" "busco.10306at7399.faa.phy" 19 1168
"67" "busco.10311at7399.faa.phy" 31 1338
"68" "busco.10317at7399.faa.phy" 24 740
"69" "busco.10319at7399.faa.phy" 9 666
"70" "busco.10328at7399.faa.phy" 21 788
"71" "busco.10332at7399.faa.phy" 34 871
"72" "busco.10348at7399.faa.phy" 34 697
"73" "busco.1035at7399.faa.phy" 27 2755
"74" "busco.10364at7399.faa.phy" 30 813
"75" "busco.10368at7399.faa.phy" 28 709
"76" "busco.10373at7399.faa.phy" 30 3195
"77" "busco.10377at7399.faa.phy" 35 749
"78" "busco.10381at7399.faa.phy" 16 2362
"79" "busco.10395at7399.faa.phy" 16 993
"80" "busco.10399at7399.faa.phy" 29 618
"81" "busco.103at7399.faa.phy" 24 4331
"82" "busco.10402at7399.faa.phy" 12 601
"83" "busco.10403at7399.faa.phy" 16 507
"84" "busco.10405at7399.faa.phy" 29 536
"85" "busco.10406at7399.faa.phy" 21 1338
"86" "busco.10407at7399.faa.phy" 35 563
"87" "busco.10415at7399.faa.phy" 27 2124
"88" "busco.10420at7399.faa.phy" 33 502
"89" "busco.10421at7399.faa.phy" 36 800
"90" "busco.10426at7399.faa.phy" 8 690
"91" "busco.10430at7399.faa.phy" 15 703
"92" "busco.10433at7399.faa.phy" 11 1464
"93" "busco.10435at7399.faa.phy" 25 1530
"94" "busco.10456at7399.faa.phy" 24 546
"95" "busco.1045at7399.faa.phy" 21 2382
"96" "busco.10466at7399.faa.phy" 30 567
"97" "busco.10475at7399.faa.phy" 23 538
"98" "busco.10477at7399.faa.phy" 24 795
"99" "busco.10480at7399.faa.phy" 4 595
"100" "busco.10481at7399.faa.phy" 27 732
"101" "busco.1048at7399.faa.phy" 8 2297
"102" "busco.10494at7399.faa.phy" 31 630
"103" "busco.10495at7399.faa.phy" 26 706
"104" "busco.10497at7399.faa.phy" 23 771
"105" "busco.10498at7399.faa.phy" 23 598
"106" "busco.104at7399.faa.phy" 26 5131
"107" "busco.10505at7399.faa.phy" 23 698
"108" "busco.10515at7399.faa.phy" 26 1202
"109" "busco.10519at7399.faa.phy" 31 1193
"110" "busco.10523at7399.faa.phy" 28 515
"111" "busco.1052at7399.faa.phy" 25 1939
"112" "busco.10530at7399.faa.phy" 25 888
"113" "busco.10535at7399.faa.phy" 36 1057
"114" "busco.10537at7399.faa.phy" 27 672
"115" "busco.10555at7399.faa.phy" 30 1255
"116" "busco.10559at7399.faa.phy" 24 1132
"117" "busco.10576at7399.faa.phy" 25 1454
"118" "busco.1057at7399.faa.phy" 25 2280
"119" "busco.10583at7399.faa.phy" 31 487
"120" "busco.10585at7399.faa.phy" 26 546
"121" "busco.10587at7399.faa.phy" 32 507
"122" "busco.10590at7399.faa.phy" 31 628
"123" "busco.10598at7399.faa.phy" 34 724
"124" "busco.10599at7399.faa.phy" 12 527
"125" "busco.105at7399.faa.phy" 14 6510
"126" "busco.10600at7399.faa.phy" 30 782
"127" "busco.10601at7399.faa.phy" 24 607
"128" "busco.10605at7399.faa.phy" 20 587
"129" "busco.10610at7399.faa.phy" 22 1333
"130" "busco.10620at7399.faa.phy" 19 1155
"131" "busco.10627at7399.faa.phy" 30 621
"132" "busco.10633at7399.faa.phy" 26 717
"133" "busco.10639at7399.faa.phy" 24 670
"134" "busco.10646at7399.faa.phy" 35 526
"135" "busco.10649at7399.faa.phy" 10 712
"136" "busco.10654at7399.faa.phy" 27 510
"137" "busco.10668at7399.faa.phy" 33 1048
"138" "busco.10673at7399.faa.phy" 27 606
"139" "busco.10679at7399.faa.phy" 17 552
"140" "busco.10680at7399.faa.phy" 11 678
"141" "busco.10683at7399.faa.phy" 33 1264
"142" "busco.10685at7399.faa.phy" 34 1552
"143" "busco.10687at7399.faa.phy" 17 458
"144" "busco.10688at7399.faa.phy" 24 546
"145" "busco.10694at7399.faa.phy" 20 939
"146" "busco.10695at7399.faa.phy" 19 638
"147" "busco.10696at7399.faa.phy" 31 549
"148" "busco.10697at7399.faa.phy" 25 588
"149" "busco.10703at7399.faa.phy" 14 708
"150" "busco.10705at7399.faa.phy" 29 693
"151" "busco.10708at7399.faa.phy" 27 1134
"152" "busco.10711at7399.faa.phy" 27 822
"153" "busco.10712at7399.faa.phy" 25 3624
"154" "busco.10714at7399.faa.phy" 26 1685
"155" "busco.10716at7399.faa.phy" 12 2096
"156" "busco.10717at7399.faa.phy" 24 821
"157" "busco.10723at7399.faa.phy" 23 603
"158" "busco.10727at7399.faa.phy" 22 635
"159" "busco.1072at7399.faa.phy" 24 2236
"160" "busco.10749at7399.faa.phy" 30 602
"161" "busco.10752at7399.faa.phy" 34 517
"162" "busco.10756at7399.faa.phy" 31 493
"163" "busco.10757at7399.faa.phy" 6 563
"164" "busco.10759at7399.faa.phy" 21 705
"165" "busco.10765at7399.faa.phy" 29 662
"166" "busco.10766at7399.faa.phy" 24 689
"167" "busco.10784at7399.faa.phy" 20 680
"168" "busco.10785at7399.faa.phy" 20 1265
"169" "busco.10788at7399.faa.phy" 26 517
"170" "busco.10789at7399.faa.phy" 31 749
"171" "busco.1078at7399.faa.phy" 20 2099
"172" "busco.10790at7399.faa.phy" 36 558
"173" "busco.10794at7399.faa.phy" 10 592
"174" "busco.10802at7399.faa.phy" 30 794
"175" "busco.10805at7399.faa.phy" 27 658
"176" "busco.10807at7399.faa.phy" 33 476
"177" "busco.1081at7399.faa.phy" 31 1759
"178" "busco.10822at7399.faa.phy" 19 670
"179" "busco.10823at7399.faa.phy" 19 918
"180" "busco.10827at7399.faa.phy" 24 1888
"181" "busco.10828at7399.faa.phy" 24 6286
"182" "busco.10851at7399.faa.phy" 34 1241
"183" "busco.10854at7399.faa.phy" 32 733
"184" "busco.10857at7399.faa.phy" 26 926
"185" "busco.10858at7399.faa.phy" 29 454
"186" "busco.10861at7399.faa.phy" 30 575
"187" "busco.10871at7399.faa.phy" 19 519
"188" "busco.10875at7399.faa.phy" 21 635
"189" "busco.1087at7399.faa.phy" 12 5261
"190" "busco.10888at7399.faa.phy" 23 983
"191" "busco.10889at7399.faa.phy" 23 555
"192" "busco.10891at7399.faa.phy" 7 637
"193" "busco.10892at7399.faa.phy" 28 587
"194" "busco.10899at7399.faa.phy" 32 846
"195" "busco.1089at7399.faa.phy" 26 3170
"196" "busco.10903at7399.faa.phy" 25 467
"197" "busco.10913at7399.faa.phy" 25 575
"198" "busco.10914at7399.faa.phy" 30 1104
"199" "busco.10915at7399.faa.phy" 11 596
"200" "busco.10917at7399.faa.phy" 18 753
"201" "busco.10919at7399.faa.phy" 17 1152
"202" "busco.10920at7399.faa.phy" 25 446
"203" "busco.10922at7399.faa.phy" 26 564
"204" "busco.10923at7399.faa.phy" 19 786
"205" "busco.10927at7399.faa.phy" 20 1025
"206" "busco.10944at7399.faa.phy" 28 1021
"207" "busco.10948at7399.faa.phy" 25 1091
"208" "busco.10951at7399.faa.phy" 22 1150
"209" "busco.10955at7399.faa.phy" 33 488
"210" "busco.10957at7399.faa.phy" 30 465
"211" "busco.1095at7399.faa.phy" 15 2109
"212" "busco.10961at7399.faa.phy" 24 557
"213" "busco.10962at7399.faa.phy" 30 917
"214" "busco.10967at7399.faa.phy" 30 998
"215" "busco.10969at7399.faa.phy" 22 1831
"216" "busco.1096at7399.faa.phy" 10 1706
"217" "busco.10976at7399.faa.phy" 33 631
"218" "busco.10977at7399.faa.phy" 32 639
"219" "busco.10978at7399.faa.phy" 15 508
"220" "busco.10982at7399.faa.phy" 21 648
"221" "busco.10986at7399.faa.phy" 25 670
"222" "busco.10994at7399.faa.phy" 19 1078
"223" "busco.11006at7399.faa.phy" 18 637
"224" "busco.11015at7399.faa.phy" 31 1419
"225" "busco.11020at7399.faa.phy" 30 495
"226" "busco.11022at7399.faa.phy" 28 566
"227" "busco.11023at7399.faa.phy" 23 519
"228" "busco.11027at7399.faa.phy" 22 616
"229" "busco.11035at7399.faa.phy" 19 550
"230" "busco.11040at7399.faa.phy" 34 799
"231" "busco.11041at7399.faa.phy" 27 888
"232" "busco.11045at7399.faa.phy" 32 632
"233" "busco.11047at7399.faa.phy" 22 1394
"234" "busco.11048at7399.faa.phy" 24 1224
"235" "busco.11063at7399.faa.phy" 29 1377
"236" "busco.11068at7399.faa.phy" 24 755
"237" "busco.1106at7399.faa.phy" 21 1849
"238" "busco.11071at7399.faa.phy" 33 713
"239" "busco.11072at7399.faa.phy" 27 1032
"240" "busco.11075at7399.faa.phy" 30 477
"241" "busco.11076at7399.faa.phy" 27 545
"242" "busco.11085at7399.faa.phy" 31 1365
"243" "busco.11095at7399.faa.phy" 31 846
"244" "busco.11097at7399.faa.phy" 26 1686
"245" "busco.11103at7399.faa.phy" 26 893
"246" "busco.11104at7399.faa.phy" 23 630
"247" "busco.11114at7399.faa.phy" 13 1320
"248" "busco.11120at7399.faa.phy" 30 1018
"249" "busco.11121at7399.faa.phy" 35 678
"250" "busco.11127at7399.faa.phy" 16 681
"251" "busco.11136at7399.faa.phy" 31 472
"252" "busco.11138at7399.faa.phy" 35 530
"253" "busco.11148at7399.faa.phy" 25 918
"254" "busco.11154at7399.faa.phy" 27 827
"255" "busco.1115at7399.faa.phy" 24 2926
"256" "busco.1116at7399.faa.phy" 19 1757
"257" "busco.1117at7399.faa.phy" 9 1725
"258" "busco.11180at7399.faa.phy" 22 537
"259" "busco.11181at7399.faa.phy" 28 520
"260" "busco.11184at7399.faa.phy" 24 502
"261" "busco.11185at7399.faa.phy" 21 1159
"262" "busco.11190at7399.faa.phy" 18 4802
"263" "busco.1119at7399.faa.phy" 20 1788
"264" "busco.11200at7399.faa.phy" 29 642
"265" "busco.11204at7399.faa.phy" 35 554
"266" "busco.11210at7399.faa.phy" 30 597
"267" "busco.11217at7399.faa.phy" 21 931
"268" "busco.1121at7399.faa.phy" 28 1550
"269" "busco.11226at7399.faa.phy" 33 821
"270" "busco.1124at7399.faa.phy" 21 2161
"271" "busco.11251at7399.faa.phy" 27 758
"272" "busco.11268at7399.faa.phy" 32 637
"273" "busco.11274at7399.faa.phy" 16 573
"274" "busco.11276at7399.faa.phy" 24 2039
"275" "busco.11279at7399.faa.phy" 35 1302
"276" "busco.11280at7399.faa.phy" 32 481
"277" "busco.11282at7399.faa.phy" 14 526
"278" "busco.11283at7399.faa.phy" 14 450
"279" "busco.112at7399.faa.phy" 28 4332
"280" "busco.11300at7399.faa.phy" 23 601
"281" "busco.11306at7399.faa.phy" 27 1390
"282" "busco.11313at7399.faa.phy" 25 475
"283" "busco.11316at7399.faa.phy" 33 498
"284" "busco.11329at7399.faa.phy" 22 746
"285" "busco.11330at7399.faa.phy" 28 1315
"286" "busco.11352at7399.faa.phy" 20 844
"287" "busco.11356at7399.faa.phy" 28 772
"288" "busco.11363at7399.faa.phy" 11 596
"289" "busco.11372at7399.faa.phy" 23 1171
"290" "busco.11374at7399.faa.phy" 25 1637
"291" "busco.11381at7399.faa.phy" 27 830
"292" "busco.11386at7399.faa.phy" 32 1240
"293" "busco.11387at7399.faa.phy" 19 800
"294" "busco.11393at7399.faa.phy" 15 450
"295" "busco.11395at7399.faa.phy" 24 582
"296" "busco.11399at7399.faa.phy" 37 604
"297" "busco.11408at7399.faa.phy" 28 2136
"298" "busco.11411at7399.faa.phy" 27 611
"299" "busco.11413at7399.faa.phy" 27 533
"300" "busco.11415at7399.faa.phy" 35 561
"301" "busco.11417at7399.faa.phy" 25 791
"302" "busco.11422at7399.faa.phy" 25 1027
"303" "busco.11426at7399.faa.phy" 22 774
"304" "busco.11427at7399.faa.phy" 26 468
"305" "busco.11430at7399.faa.phy" 17 564
"306" "busco.11445at7399.faa.phy" 23 1160
"307" "busco.11449at7399.faa.phy" 30 873
"308" "busco.1144at7399.faa.phy" 23 2560
"309" "busco.11465at7399.faa.phy" 30 1251
"310" "busco.11468at7399.faa.phy" 29 1422
"311" "busco.11470at7399.faa.phy" 36 1689
"312" "busco.11472at7399.faa.phy" 27 709
"313" "busco.11473at7399.faa.phy" 29 799
"314" "busco.11474at7399.faa.phy" 31 632
"315" "busco.11479at7399.faa.phy" 29 880
"316" "busco.1147at7399.faa.phy" 32 3031
"317" "busco.11481at7399.faa.phy" 29 1022
"318" "busco.11485at7399.faa.phy" 31 934
"319" "busco.11486at7399.faa.phy" 31 817
"320" "busco.1148at7399.faa.phy" 22 1514
"321" "busco.11491at7399.faa.phy" 27 482
"322" "busco.11505at7399.faa.phy" 31 1197
"323" "busco.11508at7399.faa.phy" 31 780
"324" "busco.11510at7399.faa.phy" 19 1463
"325" "busco.11511at7399.faa.phy" 30 546
"326" "busco.11512at7399.faa.phy" 30 568
"327" "busco.11517at7399.faa.phy" 24 659
"328" "busco.11520at7399.faa.phy" 28 1147
"329" "busco.11527at7399.faa.phy" 31 465
"330" "busco.11528at7399.faa.phy" 29 492
"331" "busco.11533at7399.faa.phy" 19 797
"332" "busco.11544at7399.faa.phy" 16 1441
"333" "busco.11545at7399.faa.phy" 30 1784
"334" "busco.11546at7399.faa.phy" 35 540
"335" "busco.1154at7399.faa.phy" 27 1465
"336" "busco.11554at7399.faa.phy" 16 841
"337" "busco.11555at7399.faa.phy" 30 668
"338" "busco.11558at7399.faa.phy" 30 668
"339" "busco.11562at7399.faa.phy" 20 1764
"340" "busco.11563at7399.faa.phy" 24 959
"341" "busco.11568at7399.faa.phy" 23 501
"342" "busco.11569at7399.faa.phy" 16 497
"343" "busco.11571at7399.faa.phy" 24 801
"344" "busco.11582at7399.faa.phy" 36 1159
"345" "busco.11587at7399.faa.phy" 18 940
"346" "busco.1158at7399.faa.phy" 22 2293
"347" "busco.11590at7399.faa.phy" 33 684
"348" "busco.11591at7399.faa.phy" 26 739
"349" "busco.11597at7399.faa.phy" 18 949
"350" "busco.1159at7399.faa.phy" 11 2900
"351" "busco.11602at7399.faa.phy" 22 603
"352" "busco.11604at7399.faa.phy" 17 582
"353" "busco.11611at7399.faa.phy" 36 1816
"354" "busco.11612at7399.faa.phy" 32 598
"355" "busco.11613at7399.faa.phy" 32 1094
"356" "busco.11615at7399.faa.phy" 13 1205
"357" "busco.11627at7399.faa.phy" 34 502
"358" "busco.11631at7399.faa.phy" 12 3297
"359" "busco.11633at7399.faa.phy" 31 1149
"360" "busco.11635at7399.faa.phy" 19 852
"361" "busco.1163at7399.faa.phy" 14 1640
"362" "busco.11642at7399.faa.phy" 32 618
"363" "busco.11645at7399.faa.phy" 32 788
"364" "busco.11647at7399.faa.phy" 23 962
"365" "busco.11649at7399.faa.phy" 22 1857
"366" "busco.1164at7399.faa.phy" 30 2107
"367" "busco.11660at7399.faa.phy" 25 629
"368" "busco.11662at7399.faa.phy" 19 1039
"369" "busco.11666at7399.faa.phy" 21 798
"370" "busco.11672at7399.faa.phy" 12 1197
"371" "busco.11674at7399.faa.phy" 30 1194
"372" "busco.11677at7399.faa.phy" 29 486
"373" "busco.1167at7399.faa.phy" 30 2625
"374" "busco.11681at7399.faa.phy" 31 474
"375" "busco.11686at7399.faa.phy" 29 834
"376" "busco.11687at7399.faa.phy" 30 1069
"377" "busco.11694at7399.faa.phy" 20 561
"378" "busco.11699at7399.faa.phy" 31 1024
"379" "busco.11705at7399.faa.phy" 26 758
"380" "busco.11706at7399.faa.phy" 32 4135
"381" "busco.11707at7399.faa.phy" 31 2582
"382" "busco.11713at7399.faa.phy" 32 612
"383" "busco.11717at7399.faa.phy" 15 575
"384" "busco.11724at7399.faa.phy" 26 1178
"385" "busco.11728at7399.faa.phy" 19 478
"386" "busco.11729at7399.faa.phy" 34 624
"387" "busco.1172at7399.faa.phy" 24 2763
"388" "busco.11734at7399.faa.phy" 23 1456
"389" "busco.11740at7399.faa.phy" 28 850
"390" "busco.11744at7399.faa.phy" 27 913
"391" "busco.11752at7399.faa.phy" 13 784
"392" "busco.11756at7399.faa.phy" 33 2961
"393" "busco.11770at7399.faa.phy" 19 664
"394" "busco.11774at7399.faa.phy" 24 462
"395" "busco.1177at7399.faa.phy" 24 1638
"396" "busco.11780at7399.faa.phy" 18 853
"397" "busco.11781at7399.faa.phy" 23 617
"398" "busco.11793at7399.faa.phy" 37 961
"399" "busco.11806at7399.faa.phy" 35 918
"400" "busco.11811at7399.faa.phy" 27 540
"401" "busco.11813at7399.faa.phy" 20 517
"402" "busco.11817at7399.faa.phy" 27 543
"403" "busco.11827at7399.faa.phy" 33 825
"404" "busco.11836at7399.faa.phy" 30 951
"405" "busco.11841at7399.faa.phy" 31 733
"406" "busco.11842at7399.faa.phy" 31 1402
"407" "busco.11848at7399.faa.phy" 31 477
"408" "busco.11850at7399.faa.phy" 36 2101
"409" "busco.11853at7399.faa.phy" 30 626
"410" "busco.11854at7399.faa.phy" 14 549
"411" "busco.11856at7399.faa.phy" 15 588
"412" "busco.11865at7399.faa.phy" 21 1953
"413" "busco.11866at7399.faa.phy" 30 1345
"414" "busco.11868at7399.faa.phy" 29 420
"415" "busco.11872at7399.faa.phy" 27 530
"416" "busco.11875at7399.faa.phy" 33 568
"417" "busco.11883at7399.faa.phy" 29 501
"418" "busco.11887at7399.faa.phy" 12 550
"419" "busco.11891at7399.faa.phy" 27 565
"420" "busco.11898at7399.faa.phy" 22 663
"421" "busco.118at7399.faa.phy" 25 4754
"422" "busco.1190at7399.faa.phy" 27 2333
"423" "busco.11913at7399.faa.phy" 20 512
"424" "busco.11922at7399.faa.phy" 19 688
"425" "busco.11929at7399.faa.phy" 30 616
"426" "busco.1192at7399.faa.phy" 14 1860
"427" "busco.1193at7399.faa.phy" 21 1380
"428" "busco.11941at7399.faa.phy" 21 499
"429" "busco.11943at7399.faa.phy" 34 1954
"430" "busco.11944at7399.faa.phy" 26 1350
"431" "busco.11959at7399.faa.phy" 34 681
"432" "busco.1195at7399.faa.phy" 31 1944
"433" "busco.11969at7399.faa.phy" 36 1526
"434" "busco.1196at7399.faa.phy" 16 2259
"435" "busco.11973at7399.faa.phy" 22 529
"436" "busco.11981at7399.faa.phy" 30 645
"437" "busco.11988at7399.faa.phy" 23 980
"438" "busco.11990at7399.faa.phy" 28 765
"439" "busco.11992at7399.faa.phy" 29 954
"440" "busco.11995at7399.faa.phy" 34 527
"441" "busco.11996at7399.faa.phy" 35 530
"442" "busco.11999at7399.faa.phy" 27 512
"443" "busco.12003at7399.faa.phy" 31 795
"444" "busco.12005at7399.faa.phy" 33 588
"445" "busco.12008at7399.faa.phy" 28 901
"446" "busco.12010at7399.faa.phy" 15 568
"447" "busco.12018at7399.faa.phy" 9 561
"448" "busco.12023at7399.faa.phy" 14 526
"449" "busco.12024at7399.faa.phy" 4 517
"450" "busco.12030at7399.faa.phy" 26 594
"451" "busco.12046at7399.faa.phy" 23 673
"452" "busco.12049at7399.faa.phy" 34 1165
"453" "busco.12054at7399.faa.phy" 30 443
"454" "busco.12059at7399.faa.phy" 13 536
"455" "busco.12065at7399.faa.phy" 29 777
"456" "busco.12069at7399.faa.phy" 32 492
"457" "busco.12077at7399.faa.phy" 11 1142
"458" "busco.12078at7399.faa.phy" 33 1369
"459" "busco.12084at7399.faa.phy" 21 455
"460" "busco.12085at7399.faa.phy" 29 527
"461" "busco.12088at7399.faa.phy" 31 533
"462" "busco.12092at7399.faa.phy" 30 964
"463" "busco.12094at7399.faa.phy" 18 916
"464" "busco.12100at7399.faa.phy" 25 488
"465" "busco.12104at7399.faa.phy" 33 957
"466" "busco.12105at7399.faa.phy" 31 519
"467" "busco.12110at7399.faa.phy" 35 544
"468" "busco.12116at7399.faa.phy" 19 1040
"469" "busco.12124at7399.faa.phy" 26 628
"470" "busco.12133at7399.faa.phy" 13 444
"471" "busco.12143at7399.faa.phy" 29 672
"472" "busco.12158at7399.faa.phy" 21 1542
"473" "busco.12166at7399.faa.phy" 20 495
"474" "busco.12167at7399.faa.phy" 26 1663
"475" "busco.12168at7399.faa.phy" 24 873
"476" "busco.12169at7399.faa.phy" 14 601
"477" "busco.12171at7399.faa.phy" 23 626
"478" "busco.12176at7399.faa.phy" 24 1203
"479" "busco.12184at7399.faa.phy" 34 522
"480" "busco.12186at7399.faa.phy" 26 655
"481" "busco.12201at7399.faa.phy" 23 460
"482" "busco.12204at7399.faa.phy" 30 551
"483" "busco.12205at7399.faa.phy" 27 459
"484" "busco.12207at7399.faa.phy" 31 1451
"485" "busco.12209at7399.faa.phy" 32 824
"486" "busco.12215at7399.faa.phy" 17 630
"487" "busco.12216at7399.faa.phy" 29 520
"488" "busco.12218at7399.faa.phy" 27 617
"489" "busco.12226at7399.faa.phy" 24 670
"490" "busco.12227at7399.faa.phy" 30 793
"491" "busco.12229at7399.faa.phy" 34 664
"492" "busco.12232at7399.faa.phy" 34 1162
"493" "busco.12238at7399.faa.phy" 35 581
"494" "busco.12241at7399.faa.phy" 31 888
"495" "busco.12243at7399.faa.phy" 33 1340
"496" "busco.12249at7399.faa.phy" 23 549
"497" "busco.12254at7399.faa.phy" 27 1099
"498" "busco.12255at7399.faa.phy" 32 412
"499" "busco.12261at7399.faa.phy" 28 548
"500" "busco.12266at7399.faa.phy" 23 824
"501" "busco.12271at7399.faa.phy" 24 848
"502" "busco.12272at7399.faa.phy" 34 1527
"503" "busco.1227at7399.faa.phy" 26 2465
"504" "busco.12280at7399.faa.phy" 28 584
"505" "busco.12281at7399.faa.phy" 30 520
"506" "busco.12303at7399.faa.phy" 25 699
"507" "busco.12316at7399.faa.phy" 19 436
"508" "busco.12317at7399.faa.phy" 27 456
"509" "busco.12319at7399.faa.phy" 28 809
"510" "busco.12320at7399.faa.phy" 26 618
"511" "busco.12321at7399.faa.phy" 17 460
"512" "busco.12324at7399.faa.phy" 32 505
"513" "busco.1232at7399.faa.phy" 22 1331
"514" "busco.12330at7399.faa.phy" 22 576
"515" "busco.12331at7399.faa.phy" 22 871
"516" "busco.12338at7399.faa.phy" 33 652
"517" "busco.12341at7399.faa.phy" 14 661
"518" "busco.12344at7399.faa.phy" 29 1177
"519" "busco.12347at7399.faa.phy" 17 495
"520" "busco.12353at7399.faa.phy" 35 921
"521" "busco.1235at7399.faa.phy" 23 1429
"522" "busco.12363at7399.faa.phy" 31 857
"523" "busco.12367at7399.faa.phy" 26 2296
"524" "busco.12369at7399.faa.phy" 28 853
"525" "busco.12370at7399.faa.phy" 29 933
"526" "busco.12373at7399.faa.phy" 22 586
"527" "busco.12375at7399.faa.phy" 31 555
"528" "busco.12377at7399.faa.phy" 15 553
"529" "busco.12383at7399.faa.phy" 28 446
"530" "busco.12397at7399.faa.phy" 26 409
"531" "busco.123at7399.faa.phy" 19 5362
"532" "busco.12400at7399.faa.phy" 26 463
"533" "busco.12404at7399.faa.phy" 31 588
"534" "busco.12406at7399.faa.phy" 33 498
"535" "busco.12415at7399.faa.phy" 25 648
"536" "busco.12424at7399.faa.phy" 28 593
"537" "busco.12425at7399.faa.phy" 33 508
"538" "busco.12428at7399.faa.phy" 19 614
"539" "busco.1242at7399.faa.phy" 11 1413
"540" "busco.12433at7399.faa.phy" 16 550
"541" "busco.12437at7399.faa.phy" 21 899
"542" "busco.12440at7399.faa.phy" 17 479
"543" "busco.12443at7399.faa.phy" 33 793
"544" "busco.12444at7399.faa.phy" 30 683
"545" "busco.12450at7399.faa.phy" 30 1191
"546" "busco.12453at7399.faa.phy" 36 552
"547" "busco.12454at7399.faa.phy" 33 1470
"548" "busco.12460at7399.faa.phy" 4 619
"549" "busco.12461at7399.faa.phy" 28 566
"550" "busco.12462at7399.faa.phy" 17 554
"551" "busco.12465at7399.faa.phy" 23 851
"552" "busco.12469at7399.faa.phy" 30 1288
"553" "busco.1246at7399.faa.phy" 25 2722
"554" "busco.12470at7399.faa.phy" 29 1501
"555" "busco.12482at7399.faa.phy" 31 521
"556" "busco.12494at7399.faa.phy" 27 742
"557" "busco.12499at7399.faa.phy" 21 556
"558" "busco.12502at7399.faa.phy" 13 527
"559" "busco.12506at7399.faa.phy" 35 582
"560" "busco.12507at7399.faa.phy" 22 552
"561" "busco.12517at7399.faa.phy" 32 901
"562" "busco.12522at7399.faa.phy" 9 405
"563" "busco.12528at7399.faa.phy" 32 608
"564" "busco.12535at7399.faa.phy" 9 632
"565" "busco.12541at7399.faa.phy" 33 814
"566" "busco.12545at7399.faa.phy" 16 561
"567" "busco.12549at7399.faa.phy" 24 2033
"568" "busco.12553at7399.faa.phy" 23 421
"569" "busco.12564at7399.faa.phy" 28 522
"570" "busco.12575at7399.faa.phy" 30 478
"571" "busco.12577at7399.faa.phy" 13 491
"572" "busco.12578at7399.faa.phy" 35 1250
"573" "busco.12587at7399.faa.phy" 30 1047
"574" "busco.12588at7399.faa.phy" 21 789
